2330,B,20170308,090000000000,186.0,26
2330,S,20170314,090000000000,188.0,26
2330,B,20170419,090000000000,187.5,26
2330,S,20170522,090000000000,203.5,26
2330,B,20170706,090000000000,208.0,26
2330,S,20170802,090000000000,214.0,26
2330,B,20170824,090000000000,216.0,26
2330,S,20170825,090000000000,217.5,26
2330,B,20170930,090000000000,218.0,25
2330,S,20171117,090000000000,240.5,25
2330,B,20171130,090000000000,226.5,27
2330,S,20171204,090000000000,232.5,27
2330,B,20171221,090000000000,226.5,28
2330,S,20171222,090000000000,225.0,28
2330,B,20180209,090000000000,230.0,27
2330,S,20180326,090000000000,241.5,27
2330,B,20180419,090000000000,242.0,27
2330,S,20180420,090000000000,228.0,27
2330,B,20180424,090000000000,225.0,27
2330,S,20180531,090000000000,221.5,27
2330,B,20180601,090000000000,224.5,27
2330,S,20180604,090000000000,227.5,27
2330,B,20180627,090000000000,216.0,29
2330,S,20180628,090000000000,211.0,29
2330,B,20180629,090000000000,212.0,28
2330,S,20180815,090000000000,244.5,28
2330,B,20180821,090000000000,239.0,29
2330,S,20180917,090000000000,262.5,29
2330,B,20181011,090000000000,233.5,33
2330,S,20181015,090000000000,234.0,33
2330,B,20181017,090000000000,241.5,31
2330,S,20181018,090000000000,238.0,31
2330,B,20181025,090000000000,220.5,34
2330,S,20181026,090000000000,223.0,34
2330,B,20181029,090000000000,223.0,34
2330,S,20181030,090000000000,236.0,34
2330,B,20181031,090000000000,228.0,35
2330,S,20181101,090000000000,236.0,35
2330,B,20181102,090000000000,236.5,35
2330,S,20181114,090000000000,230.0,35
2330,B,20181121,090000000000,214.5,38
2330,S,20181123,090000000000,220.5,38
2330,B,20181126,090000000000,219.0,38
2330,S,20181207,090000000000,222.5,38
2330,B,20181227,090000000000,222.0,38
2330,S,20181228,090000000000,223.5,38
